Area Code,Area,Item Code,Item,Element,Year Code,Year,Unit,Value,SUBJECT,MEASURE,Value
21,Brazil,4007,"Ammonia, anhydrous",Production,2002,2002,tonnes,1248009,,,
21,Brazil,4007,"Ammonia, anhydrous",Production,2003,2003,tonnes,1143059,,,
21,Brazil,4007,"Ammonia, anhydrous",Production,2004,2004,tonnes,1301483,,,
21,Brazil,4007,"Ammonia, anhydrous",Production,2005,2005,tonnes,1301083,,,
21,Brazil,4007,"Ammonia, anhydrous",Production,2006,2006,tonnes,1315421,,,
21,Brazil,4007,"Ammonia, anhydrous",Production,2007,2007,tonnes,1211604,,,
21,Brazil,4007,"Ammonia, anhydrous",Production,2008,2008,tonnes,1226059,,,
21,Brazil,4007,"Ammonia, anhydrous",Production,2009,2009,tonnes,1058540,,,
21,Brazil,4007,"Ammonia, anhydrous",Production,2010,2010,tonnes,1176526,,,
21,Brazil,4007,"Ammonia, anhydrous",Production,2011,2011,tonnes,1352598,,,
21,Brazil,4007,"Ammonia, anhydrous",Production,2012,2012,tonnes,1182014,,,
21,Brazil,4007,"Ammonia, anhydrous",Production,2013,2013,tonnes,1225655,,,
21,Brazil,4007,"Ammonia, anhydrous",Production,2014,2014,tonnes,1060074,,,
21,Brazil,4007,"Ammonia, anhydrous",Production,2015,2015,tonnes,1221803,,,
21,Brazil,4007,"Ammonia, anhydrous",Production,2016,2016,tonnes,1212560,,,
21,Brazil,4007,"Ammonia, anhydrous",Production,2017,2017,tonnes,911861,,,
21,Brazil,4007,"Ammonia, anhydrous",Import Quantity,2002,2002,tonnes,267472.82,,,
21,Brazil,4007,"Ammonia, anhydrous",Import Quantity,2003,2003,tonnes,287944.72,,,
21,Brazil,4007,"Ammonia, anhydrous",Import Quantity,2004,2004,tonnes,228732.15,,,
21,Brazil,4007,"Ammonia, anhydrous",Import Quantity,2005,2005,tonnes,252243.8,,,
21,Brazil,4007,"Ammonia, anhydrous",Import Quantity,2006,2006,tonnes,254143.91,,,
21,Brazil,4007,"Ammonia, anhydrous",Import Quantity,2007,2007,tonnes,313405.88,,,
21,Brazil,4007,"Ammonia, anhydrous",Import Quantity,2008,2008,tonnes,305677.5,,,
21,Brazil,4007,"Ammonia, anhydrous",Import Quantity,2009,2009,tonnes,325792.22,,,
